Sr.No.,FIR No.,IPC,Date of Offence,Date of FIR,PoliceStation,Day,Time of Offence,First Vehicle,Fatalities,Serious,Minor,Second Vehicle,Fatalities,Serious,Minor,Type of Collision,Hit and Run,Intersection/Mid Block,Maneuver type as per FIR,Place/Location of Occurrence,Total Fatalities,Total Serious ,Total Minor,Latitude,Longitude,Road Name ,Road Number,Rural/Urban
1,3,"283,304-A,427,337 ",02/01/17,02/01/17,Kiratpur Sahib,Monday,12:45,Bus/Truck,0,0,0,Car/Jeep/Van,2,2,0,Hit from Back,0,Intersection,Rough Driving,Bharatgarh,2,2,0,31.098747,76.613475,NH,NH-205,Rural
2,4,"279,304-A",06/01/17,07/01/17,Kiratpur Sahib,Friday,0:00,Unknown,0,0,0,Pedestrian,1,0,0,Hit and Run,1,Mid Block,Over Speeding,Dolowal,1,0,0,31.1844102,76.572122,NH,NH-205,Rural
3,8,"279,304-A,427",20/01/17,21/01/17,Kiratpur Sahib,Friday,20:30,Car/Jeep/Van,0,0,0,Two Wheeler,2,0,0,Hit and Run,1,Intersection,Over Speeding,Sarsa Nangal,2,0,0,31.061886,76.599794,NH,NH-205,Rural
4,11,"279,304-A",20/01/17,22/01/17,Kiratpur Sahib,Friday,11:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Head On,0,Mid Block,Over Speeding,Hardonimoh,1,0,0,31.160744,76.590448,Link Road,Link Road,Rural
5,18,"279,304-A,427",01/02/17,03/02/17,Kiratpur Sahib,Wednesday,19:40,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit from Back,0,Mid Block,Over Speeding,Dolowal,1,0,0,31.1844102,76.572122,NH,NH-205,Urban
6,25,"279,304-A,427",23/02/17,23/02/17,Kiratpur Sahib,Thursday,15:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head On,0,Intersection,Over Speeding,Sarsa Nangal,1,0,0,31.061886,76.599794,NH,NH-205,Rural
7,27,"279,304-A,427",05/03/17,06/03/17,Kiratpur Sahib,Sunday,20:30,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Hit and Run,1,Mid Block,Over Speeding,Tirak Karma,1,0,0,31.147479,76.570173,Link Road,Link Road,Rural
8,29,"279,304-A,427",02/03/17,08/03/17,Kiratpur Sahib,Thursday,4:45,Two Wheeler,0,0,0,Two Wheeler,1,0,0,Head On,0,Mid Block,Over Speeding,Kalyanpur,1,0,0,31.1702827,76.5713996,NH,NH-205,Rural
9,30,"279,304-A",12/03/17,13/03/17,Kiratpur Sahib,Sunday,19:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Head On,0,Mid Block,Over Speeding,Massewal,1,0,0,31.2068993,76.6081615,NH,NH-205,Rural
10,34,"279,337,304-A,427",27/03/17,28/03/17,Kiratpur Sahib,Monday,18:30,Bus/Truck,0,0,0,Two Wheeler,1,1,0,Head On,0,Mid Block,Over Speeding,Dehni,1,1,0,31.2057203,76.60279024,NH,NH-205,Rural
